artifact,level,mean_dice_class_1,mean_dice_class_2,mean_dice_class_3,mean_iou_class_1,mean_iou_class_2,mean_iou_class_3
clean,0,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
blur,1,0.6318,0.7505,0.7226,0.5123,0.6309,0.6121
blur,2,0.6112,0.7416,0.7041,0.4914,0.6184,0.5886
blur,3,0.5748,0.7196,0.6774,0.4529,0.5905,0.5551
blur,4,0.5269,0.6892,0.6488,0.4073,0.5545,0.5205
blur,5,0.479,0.6575,0.6219,0.3664,0.5183,0.4892
noise,1,0.6336,0.7495,0.7257,0.5134,0.6302,0.6158
noise,2,0.6337,0.7496,0.7257,0.5135,0.6302,0.6158
noise,3,0.6338,0.7497,0.7258,0.5136,0.6303,0.6159
noise,4,0.6338,0.7498,0.7258,0.5137,0.6305,0.616
noise,5,0.6341,0.75,0.7258,0.514,0.6307,0.6159
contrast,1,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
contrast,2,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
contrast,3,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
contrast,4,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
contrast,5,0.6336,0.7496,0.7257,0.5134,0.6303,0.6158
ringing,1,0.6343,0.75,0.7255,0.5142,0.6306,0.6156
ringing,2,0.6347,0.7501,0.7253,0.5146,0.6307,0.6153
ringing,3,0.6351,0.7503,0.7247,0.5149,0.6309,0.6146
ringing,4,0.6347,0.7503,0.7232,0.5144,0.6308,0.6126
ringing,5,0.6309,0.7495,0.7184,0.51,0.6295,0.6062
ghosting,1,0.6268,0.747,0.7193,0.5069,0.6263,0.6078
ghosting,2,0.6046,0.7327,0.706,0.4825,0.6069,0.5897
ghosting,3,0.5832,0.704,0.6831,0.457,0.5705,0.559
ghosting,4,0.5632,0.6608,0.6519,0.434,0.5185,0.5192
ghosting,5,0.537,0.609,0.6131,0.4049,0.4594,0.4725
