4-modal 3D U-Net robustness summary: whole tumor Dice and IoU
================================================================================

artifact  level  mean_whole_tumor_dice  whole_tumor_dice_drop  mean_whole_tumor_iou  whole_tumor_iou_drop
   clean      0                 0.8938                 0.0000                0.8150                0.0000
    blur      1                 0.8950                -0.0012                0.8166               -0.0015
    blur      2                 0.8905                 0.0034                0.8094                0.0056
    blur      3                 0.8777                 0.0162                0.7905                0.0245
    blur      4                 0.8581                 0.0358                0.7632                0.0519
    blur      5                 0.8365                 0.0574                0.7340                0.0810
   noise      1                 0.8938                 0.0000                0.8150                0.0000
   noise      2                 0.8940                -0.0001                0.8152               -0.0002
   noise      3                 0.8942                -0.0004                0.8155               -0.0005
   noise      4                 0.8945                -0.0007                0.8159               -0.0009
   noise      5                 0.8948                -0.0010                0.8164               -0.0013
contrast      1                 0.8938                 0.0000                0.8150                0.0000
contrast      2                 0.8938                -0.0000                0.8150               -0.0000
contrast      3                 0.8938                 0.0000                0.8150                0.0000
contrast      4                 0.8938                -0.0000                0.8150               -0.0000
contrast      5                 0.8938                 0.0000                0.8150                0.0000
 ringing      1                 0.8942                -0.0004                0.8155               -0.0005
 ringing      2                 0.8943                -0.0005                0.8157               -0.0006
 ringing      3                 0.8945                -0.0007                0.8159               -0.0009
 ringing      4                 0.8946                -0.0007                0.8159               -0.0009
 ringing      5                 0.8942                -0.0003                0.8152               -0.0002
ghosting      1                 0.8945                -0.0007                0.8157               -0.0006
ghosting      2                 0.8886                 0.0052                0.8060                0.0090
ghosting      3                 0.8734                 0.0204                0.7821                0.0329
ghosting      4                 0.8482                 0.0456                0.7437                0.0714
ghosting      5                 0.8128                 0.0811                0.6918                0.1233
