artifact,level,modality,params,mean_mse,std_mse,mean_psnr,std_psnr,n
blur,1,all_modalities,{'sigma': 0.5},0.0003249385378694569,0.00013968703263886323,35.291976461314235,1.9643768740624463,80
blur,1,flair,{'sigma': 0.5},0.0003167354320794402,0.00019564363479189565,35.84391219400726,2.8217625783078955,80
blur,1,t1,{'sigma': 0.5},0.0003103220609773416,0.00010760867712872643,35.40453266041068,1.8344424025317507,80
blur,1,t1ce,{'sigma': 0.5},0.0004031267038953956,0.0001747742158657841,34.34509407043328,1.900894543481821,80
blur,1,t2,{'sigma': 0.5},0.0002695700306958315,0.00014889208056636816,36.34428747124453,2.4793715628249506,80
blur,2,all_modalities,{'sigma': 1.0},0.002030953610665165,0.0008382513459357765,27.282645295984604,1.8015377323524528,80
blur,2,flair,{'sigma': 1.0},0.0019996857583464587,0.0012240506781630255,27.78940857060264,2.689885129167657,80
blur,2,t1,{'sigma': 1.0},0.0019089017456280998,0.0006348912742777271,27.470027670540123,1.6679563829523734,80
blur,2,t1ce,{'sigma': 1.0},0.0024039351461397017,0.0009686392256202702,26.516881802235396,1.6867288886603338,80
blur,2,t2,{'sigma': 1.0},0.0018112921239662682,0.0009369479094976158,27.986725042544823,2.2915034012371667,80
blur,3,all_modalities,{'sigma': 1.5},0.0035708400697330943,0.0013929898228294021,24.78588989443801,1.6632497835843876,80
blur,3,flair,{'sigma': 1.5},0.0034634718685992993,0.002038139056824515,25.312754216839927,2.498783254374408,80
blur,3,t1,{'sigma': 1.5},0.0034376720839645715,0.001104335368458515,24.88870384612517,1.5673527893080814,80
blur,3,t1ce,{'sigma': 1.5},0.004008816988789477,0.001485630423397002,24.23778641495701,1.5146634413443207,80
blur,3,t2,{'sigma': 1.5},0.003373399378324393,0.0016724343571674746,25.23386254644658,2.1595743950927475,80
blur,4,all_modalities,{'sigma': 2.0},0.005019872324191965,0.0018519262439727596,23.26985981263403,1.553124881868992,80
blur,4,flair,{'sigma': 2.0},0.004796503695251886,0.0026707429686559417,23.808352609014136,2.3159150378144497,80
blur,4,t1,{'sigma': 2.0},0.0049897278673597615,0.001571553884933307,23.254868308793885,1.5034632038711169,80
blur,4,t1ce,{'sigma': 2.0},0.005370086632319726,0.0018468384429110786,22.92580330573619,1.3804582536089853,80
blur,4,t2,{'sigma': 2.0},0.004923170918482355,0.0023660012258916677,23.553894926224263,2.058951863030867,80
blur,5,all_modalities,{'sigma': 2.5},0.006366206146776676,0.002225672483989225,22.207874422198874,1.461080339469158,80
blur,5,flair,{'sigma': 2.5},0.00601771890942473,0.0031592493006290033,22.74623936405306,2.1561905159580514,80
blur,5,t1,{'sigma': 2.5},0.006506667655776255,0.0020145530861434766,22.089417447897908,1.4516370662227787,80
blur,5,t1ce,{'sigma': 2.5},0.006551704715820961,0.002121157654491287,22.033417622751138,1.2842147697506165,80
blur,5,t2,{'sigma': 2.5},0.006388732956838794,0.0029835546017438915,22.388991039590913,1.971692749541892,80
contrast,1,all_modalities,{'factor': 0.9},0.001465769569040276,0.00025303637209632814,28.408768094261063,0.8009787173648052,80
contrast,1,flair,{'factor': 0.9},0.0014223397272871807,0.00027191643787290414,28.55862003875178,0.9196709624348741,80
contrast,1,t1,{'factor': 0.9},0.001463113220233936,0.00025742309134523303,28.418938595454584,0.8122161085821527,80
contrast,1,t1ce,{'factor': 0.9},0.0014095294100116007,0.0002500534945790232,28.580119474279126,0.8017398740444981,80
contrast,1,t2,{'factor': 0.9},0.0015680960816098378,0.00028497274428472146,28.128086693335,0.8840844859571068,80
contrast,2,all_modalities,{'factor': 0.7},0.013191924389684574,0.0022773271960973888,18.866343579528333,0.800978784970715,80
contrast,2,flair,{'factor': 0.7},0.012801054841838777,0.0024472480912124625,19.01619590957491,0.9196712184918826,80
contrast,2,t1,{'factor': 0.7},0.01316801734501496,0.0023168079377677013,18.87651407140428,0.8122163019422284,80
contrast,2,t1ce,{'factor': 0.7},0.012685762852197514,0.002250481648795874,19.037695045561833,0.8017400981493621,80
contrast,2,t2,{'factor': 0.7},0.014112862083129585,0.0025647549101990223,18.585662466263855,0.8840847897363873,80
contrast,3,all_modalities,{'factor': 0.5},0.03664422645233571,0.006325907466836857,14.429369522624256,0.8009787104144946,80
