Artifact,Level,Clean WT Dice,Degraded WT Dice,Absolute Dice Drop,Relative Drop (%)
Blur,5,0.7628045228832854,0.6233778535843288,0.1394266692989565,18.27816499723217
Blur,10,0.7628045228832854,0.5106561814076688,0.2521483414756165,33.05543345791055
Contrast reduction,5,0.7628045228832854,0.7631186451072256,-0.0003141222239402,-0.0411799110410219
Contrast reduction,10,0.7628045228832854,0.7631186734370886,-0.0003141505538032,-0.0411836249496491
Fourier truncation,5,0.7628045228832854,0.7583422124253785,0.0044623104579068,0.5849874147363439
Fourier truncation,10,0.7628045228832854,0.419288873757794,0.3435156491254913,45.03324755168654
Gaussian noise,5,0.7628045228832854,0.7662497850629735,-0.0034452621796881,-0.4516572826109548
Gaussian noise,10,0.7628045228832854,0.4430807510332911,0.3197237718499942,41.91424700019958
Ghosting,5,0.7628045228832854,0.6610611613444185,0.1017433615388668,13.338064797294644
Ghosting,10,0.7628045228832854,0.4050602247851328,0.3577442980981525,46.89855492019546
