artifact,level,condition,dice_WT_mean,dice_WT_std,iou_WT_mean,iou_WT_std,dice_TC_mean,dice_TC_std,iou_TC_mean,iou_TC_std,dice_ET_mean,dice_ET_std,iou_ET_mean,iou_ET_std,dice_class_1_mean,dice_class_1_std,dice_class_2_mean,dice_class_2_std,dice_class_3_mean,dice_class_3_std,pred_voxels_WT_mean,pred_voxels_WT_std,true_voxels_WT_mean,true_voxels_WT_std
blur,1,blur_L1,0.937965563672728,0.020433854049259972,0.8835267379243679,0.03623960687538907,0.9317737500414915,0.02597079886880077,0.8728160367756239,0.045532047739173645,0.8934987009747175,0.004545712440816258,0.8075142605718231,0.007425603628744994,0.82950419021171,0.10133108619178254,0.9217535086533017,0.04304533431964609,0.8934987009747175,0.004545712440816258,142178.0,62218.32567660432,157737.5,76709.06494346024
blur,2,blur_L2,0.9373568799766199,0.020588220638353697,0.8824527308711662,0.03647165396750988,0.9341645494067703,0.012441306690175248,0.8765901086568983,0.02190510088639298,0.8734715892013343,0.000595747194470873,0.7753660364838878,0.000938874976678846,0.8017118357350645,0.11501588538328153,0.9168265720884431,0.04205476241942676,0.8734715892013343,0.000595747194470873,142847.5,62245.902841070594,157737.5,76709.06494346024
blur,3,blur_L3,0.9358383378962647,0.015488141737311455,0.879612770963604,0.027356472277337292,0.9288103911587435,0.0007260707188567777,0.8670835143740094,0.001265541280694074,0.8361815410791457,0.012539500964315001,0.7185808320257654,0.018516759066008782,0.763659225871427,0.1219251077376456,0.9082722498646753,0.032208002699156454,0.8361815410791457,0.012539500964315001,147181.5,61834.36669442002,157737.5,76709.06494346024
blur,4,blur_L4,0.9262049848988677,0.004407760258869277,0.862568573846475,0.007645552106095305,0.913303503226228,0.001915243804041125,0.8404431339920098,0.0032436814874474,0.8031829130287746,0.020628898706218823,0.6713474111655919,0.028808125170618253,0.7147723461588968,0.13563288502056228,0.889861283215245,0.015034950178203828,0.8031829130287746,0.020628898706218823,152973.5,61264.43862878366,157737.5,76709.06494346024
blur,5,blur_L5,0.912869828184499,0.006184026786183312,0.8397358570511668,0.010465145862435228,0.883203439043228,0.02410670737943184,0.7912537663540011,0.03866526088761549,0.7772153702497202,0.01943351855119125,0.6358175966153359,0.025997784758420482,0.6305862615759541,0.1663349735205605,0.8624386538513666,0.007922499601417046,0.7772153702497202,0.01943351855119125,158549.5,61434.14425626844,157737.5,76709.06494346024
contrast,1,contrast_L1,0.9379510694155665,0.021092649972967288,0.8835238689993898,0.03740741931981573,0.9318792483957177,0.027591576976585427,0.8730724089088273,0.04838499905135952,0.8947871787306528,0.0031969523133591137,0.8096137945129256,0.005234511304374583,0.832270840060338,0.09807057161537462,0.9223164941512272,0.043763633256289354,0.8947871787306528,0.0031969523133591137,142016.0,61928.41189631783,157737.5,76709.06494346024
contrast,2,contrast_L2,0.9379521894515033,0.02109040510875337,0.8835257770677671,0.03740351543178032,0.931888438438398,0.027578580293588163,0.8730879467885038,0.04836302517119056,0.894801843083059,0.00321769083941532,0.8096379041694428,0.005268607507605398,0.832270840060338,0.09807057161537462,0.922321419136435,0.043765532736642444,0.894801843083059,0.00321769083941532,142015.5,61930.533216661395,157737.5,76709.06494346024
contrast,3,contrast_L3,0.9379569934798497,0.021098293492186296,0.883534578264648,0.03741784945707408,0.9318792483957177,0.027591576976585427,0.8730724089088273,0.04838499905135952,0.8947871787306528,0.0031969523133591137,0.8096137945129256,0.005234511304374583,0.832270840060338,0.09807057161537462,0.922324158554886,0.04377139219272332,0.8947871787306528,0.0031969523133591137,142014.5,61926.29057597427,157737.5,76709.06494346024
contrast,4,contrast_L4,0.9379509062292071,0.021078198308837084,0.8835230705361001,0.037381767973711365,0.931888438438398,0.027578580293588163,0.8730879467885038,0.04836302517119056,0.8947941373296697,0.0032285884203667593,0.8096253388815312,0.0052863775081851095,0.8322527507521411,0.0980449894703886,0.9223195145532045,0.04374962806175137,0.8947941373296697,0.0032285884203667593,142015.0,61929.8261098802,157737.5,76709.06494346024
contrast,5,contrast_L5,0.9379562907116028,0.02108526594529954,0.8835328724793994,0.03739468647627768,0.9318993934400368,0.02756308758169482,0.8731064694231634,0.04833683021004427,0.8948121666052754,0.003254085666448192,0.8096549825644623,0.005328300006624993,0.8322527507521411,0.0980449894703886,0.9223233068610486,0.04375399862966336,0.8948121666052754,0.003254085666448192,142017.0,61929.8261098802,157737.5,76709.06494346024
