artifact,level,condition,dice_WT_mean,dice_WT_std,iou_WT_mean,iou_WT_std,dice_TC_mean,dice_TC_std,iou_TC_mean,iou_TC_std,dice_ET_mean,dice_ET_std,iou_ET_mean,iou_ET_std,dice_class_1_mean,dice_class_1_std,iou_class_1_mean,iou_class_1_std,dice_class_2_mean,dice_class_2_std,iou_class_2_mean,iou_class_2_std,dice_class_3_mean,dice_class_3_std,iou_class_3_mean,iou_class_3_std,pred_voxels_WT_mean,pred_voxels_WT_std,true_voxels_WT_mean,true_voxels_WT_std
blur,1,blur_L1,0.9172153549411838,0.06591131715871239,0.8531121982624077,0.10063085802284848,0.8865009372364733,0.11211208474196986,0.8113688785449166,0.15438986702869162,0.8170689073826946,0.20146550977004613,0.7269405772804733,0.22009666348623594,0.7200896834584877,0.23820844161920557,0.6079481583343661,0.2513317964909083,0.79676564484961,0.1792602982565685,0.6909503319022198,0.1998636629513985,0.8170689073826946,0.20146550977004613,0.7269405772804733,0.22009666348623594,94653.83783783784,51879.71507880777,99706.22972972973,53840.47735279322
blur,2,blur_L2,0.9162473719241696,0.06279812169107746,0.8509056828697562,0.0959473755225491,0.8839730189419139,0.11025338648607358,0.8066881758528038,0.15111863378043283,0.8025664784308587,0.20296025693545114,0.7062184996941062,0.2196468743310276,0.7028265752345125,0.24929476998812938,0.5889854385015698,0.25332080267850027,0.793355042541496,0.17611301985870156,0.6849398347058427,0.19481844320725664,0.8025664784308587,0.20296025693545114,0.7062184996941062,0.2196468743310276,95462.58108108108,52132.73079861376,99706.22972972973,53840.47735279322
blur,3,blur_L3,0.9096603900335348,0.061460427716112966,0.8394530968909283,0.09314843623319889,0.8687409271561097,0.11225268414228626,0.782617583304761,0.15104477261985405,0.7953020430208234,0.16572607208450754,0.6862359918283168,0.19553266744393963,0.6527985498164476,0.2681918414909568,0.5343878937011582,0.25797530906376764,0.777669939702643,0.17121888188214732,0.6614623484892832,0.18662401743946003,0.7953020430208234,0.16572607208450754,0.6862359918283168,0.19553266744393963,97969.7972972973,52642.77543037738,99706.22972972973,53840.47735279322
blur,4,blur_L4,0.8953249718083548,0.06572467164180071,0.816220375685694,0.09796300677507504,0.8426619288625179,0.12540391814492854,0.7449087490051909,0.15850776532202093,0.7545580193139932,0.17562494929585906,0.6329774908906667,0.1993222756323554,0.5865754470735288,0.29159650140780413,0.46879314335808275,0.2683009768608522,0.7478947763842707,0.16889053529282058,0.6208373975815856,0.18038509857131502,0.7545580193139932,0.17562494929585906,0.6329774908906667,0.1993222756323554,101579.25675675676,53230.38853657834,99706.22972972973,53840.47735279322
blur,5,blur_L5,0.8770443171235706,0.07475687302401803,0.7880501256707958,0.10747229078795395,0.8183672875681707,0.13073320759325646,0.709679161384239,0.15831489980583402,0.7180374318998632,0.18110527746691155,0.5875929245539979,0.20186308007621795,0.5299788952089262,0.3044707198958982,0.41502397157704485,0.2705876990313702,0.7128863986427573,0.16983288626394955,0.5765203453568958,0.17715215779923363,0.7180374318998632,0.18110527746691155,0.5875929245539979,0.20186308007621795,105323.25675675676,53913.55631288884,99706.22972972973,53840.47735279322
contrast,1,contrast_L1,0.9161109356781754,0.06766181171842506,0.8515074080513496,0.10267175502639182,0.8856414874397713,0.11262106545255937,0.8101436409977117,0.15537346401969584,0.8174861432893609,0.20142302884246976,0.7275298282976169,0.22003796999315783,0.7207043781867772,0.2355079993814873,0.6080995885498591,0.2505688404530284,0.7956118926943547,0.17959840197974342,0.6894714121625648,0.20042052760077206,0.8174861432893609,0.20142302884246976,0.7275298282976169,0.22003796999315783,94379.35135135135,51759.34219623729,99706.22972972973,53840.47735279322
contrast,2,contrast_L2,0.9161164794183686,0.0676675814370775,0.8515182949583392,0.10268602452608411,0.8856843253864521,0.1126072194013669,0.8102108226543634,0.15536806914362616,0.8174144599460527,0.20143336012355462,0.7274275397396746,0.22004341228049928,0.7207479296053573,0.23552474208925273,0.6081712975161526,0.2506511849696275,0.7956467784489928,0.17963468514852,0.6895345970157513,0.20047694975163025,0.8174144599460527,0.20143336012355462,0.7274275397396746,0.22004341228049928,94373.35135135135,51755.90338307456,99706.22972972973,53840.47735279322
contrast,3,contrast_L3,0.9161555176066397,0.06766633369846048,0.8515850820192228,0.10268985772123233,0.8856502090205804,0.11255161022659682,0.81014136570104,0.15530407559816026,0.8172291976483914,0.20142314905571737,0.7271510222270263,0.22002329766409515,0.7206357616578938,0.23550410152200937,0.6080361548466547,0.2507179485068815,0.7956781114069934,0.17965397326109622,0.68958819712413,0.20052255221997098,0.8172291976483914,0.20142314905571737,0.7271510222270263,0.22002329766409515,94357.22972972973,51739.729865577574,99706.22972972973,53840.47735279322
contrast,4,contrast_L4,0.9162429631363759,0.0676293334063166,0.8517278457001335,0.102638511296789,0.8855059516871127,0.1124312826459611,0.809876975785443,0.15516983002677154,0.816834860813683,0.2014285761176609,0.7265839537477924,0.2200820927976782,0.720146715991407,0.23542997830516724,0.6074206053044959,0.25081714899974095,0.795653891435943,0.17965410801566697,0.6895598808345843,0.20056587277654417,0.816834860813683,0.2014285761176609,0.7265839537477924,0.2200820927976782,94326.97297297297,51713.13728902195,99706.22972972973,53840.47735279322
contrast,5,contrast_L5,0.9164029102761602,0.06747959132432862,0.851971967868906,0.10239017998660424,0.884883262189794,0.11219446342294664,0.8088126737174335,0.15496379535442087,0.81582651091326,0.20152832148479324,0.7251952172439677,0.22050278741919677,0.7186339194235725,0.23555520223570736,0.6056321432930886,0.2513149933420917,0.795254661652771,0.17970257473973753,0.689026082396856,0.20069325326131723,0.81582651091326,0.20152832148479324,0.7251952172439677,0.22050278741919677,94284.82432432432,51693.68491129687,99706.22972972973,53840.47735279322
