artifact,level,condition,n_cases,dice_WT_mean,iou_WT_mean,dice_TC_mean,iou_TC_mean,dice_ET_mean,iou_ET_mean,pred_WT_voxels_mean,true_WT_voxels_mean,dice_class_1_mean,iou_class_1_mean,dice_class_2_mean,iou_class_2_mean,dice_class_3_mean,iou_class_3_mean,dice_WT_drop,iou_WT_drop,dice_TC_drop,iou_TC_drop,dice_ET_drop,iou_ET_drop
contrast,6,contrast_L6,74,0.9186920684371097,0.8554084813629268,0.8878409981701407,0.8127875408872351,0.7904438139287628,0.7005265796584901,95733.63513513513,99706.22972972973,0.7195690557969071,0.6063702437741849,0.7988799699024305,0.6931876357125718,0.7904438139287628,0.7005265796584901,-0.00623186827627964,-0.00921564190223556,-0.0034031032299745023,-0.004120808423290656,0.028140720217160742,0.027773651591288084
contrast,7,contrast_L7,74,0.9189277630243962,0.8557820480095085,0.887599899686972,0.8123498006254767,0.7897910134681112,0.6997002576997342,95699.87837837837,99706.22972972973,0.7185485849474172,0.6051696871744388,0.7988370518139666,0.6931013353053439,0.7897910134681112,0.6997002576997342,-0.00646756286356609,-0.009589208548817285,-0.0031620047468057244,-0.003683068161532188,0.02879352067781238,0.028599973550043956
contrast,8,contrast_L8,74,0.9190078190242827,0.8558833560900585,0.8864288463831771,0.8105016025889313,0.7877181043585064,0.6970907716071874,95616.9054054054,99706.22972972973,0.7161916345927989,0.602653589166443,0.7979958895666053,0.6920402516751386,0.7877181043585064,0.6970907716071874,-0.0065476188634526755,-0.009690516629367263,-0.001990951443010869,-0.0018348701249868427,0.03086642978741716,0.03120945964259081
contrast,9,contrast_L9,74,0.9174025250732901,0.853119807799878,0.876093767865492,0.7968132593503049,0.7602152670976886,0.6721183353188568,95355.64864864865,99706.22972972973,0.7041014724380765,0.592193180068179,0.79198490056322,0.6847044942888688,0.7602152670976886,0.6721183353188568,-0.00494232491246005,-0.006926968339186712,0.008344127074674246,0.011853473113639601,0.058369267048234974,0.05618189593092138
contrast,10,contrast_L10,74,0.9124998122252347,0.8455659932801364,0.8583819292381878,0.7816385002660354,0.7651234675609981,0.6772806243774158,94722.2972972973,99706.22972972973,0.7009276622223802,0.5910297276588689,0.7789740051596918,0.672677820908412,0.7651234675609981,0.6772806243774158,-3.9612064404614955e-05,0.0006268461805548631,0.026055965701978434,0.027028232197909063,0.05346106658492544,0.0510196068723624
noise,6,noise_L6,74,0.9084560438025978,0.83871838844653,0.8778922952761608,0.7969254503207257,0.7834036048598658,0.6856653124069051,93631.25675675676,99706.22972972973,0.6881146602860312,0.5706666566630085,0.7780562938130621,0.6647131113122872,0.7834036048598658,0.6856653124069051,0.004004156358232258,0.007474451014161221,0.006545599664005475,0.01174128214321879,0.03518092928605776,0.04263491884287307
noise,7,noise_L7,74,0.901036803780595,0.8272813783832181,0.8722226486177941,0.7893853613138834,0.8014366047338017,0.7004557962866397,91892.22972972973,99706.22972972973,0.6738281604047988,0.5551993675057113,0.7655566918240736,0.6482601827453915,0.8014366047338017,0.7004557962866397,0.01142339638023504,0.018911461077473102,0.012215246322372142,0.019281371150061122,0.017147929412121843,0.027844434963138487
noise,8,noise_L8,74,0.884599924610097,0.8022923929548045,0.8591973541118606,0.7732023381938868,0.7962446127565176,0.6901920151967039,88333.24324324324,99706.22972972973,0.6510828225938138,0.5307529723137853,0.7359488416032693,0.6105728982852888,0.7962446127565176,0.6901920151967039,0.027860275550733116,0.04390044650588676,0.025240540828305624,0.03546439427005765,0.022339921389405992,0.03810821605307424
noise,9,noise_L9,74,0.863851740665287,0.7716253527730049,0.8421210854047912,0.7520240041323742,0.762979352617971,0.6520898528763578,84585.08108108108,99706.22972972973,0.6301147975488807,0.5063052975095274,0.7004126634563372,0.5690508108333131,0.762979352617971,0.6520898528763578,0.048608459495543044,0.07456748668768631,0.04231680953537498,0.05664272833157025,0.055605181527952574,0.07621037837342037
noise,10,noise_L10,74,0.8362798843857316,0.7345714914322945,0.8195473196912012,0.7249795318247315,0.7187680348103048,0.6055698972240012,80381.1081081081,99706.22972972973,0.6046006067221781,0.47769562016883726,0.657604729272462,0.5214288855281464,0.7187680348103048,0.6055698972240012,0.07618031577509843,0.11162134802839674,0.06489057524896502,0.08368720063921298,0.09981649933561876,0.12273033402577693
