experiment,artifact,artifact_display,level,condition,mse_mean,mse_std,mse_median,psnr_mean,psnr_std,psnr_median,n_measurements,n_patients
original_L1_L5,blur,Blur,1,blur_L1,0.0005571241416062647,0.0002501564599926163,0.0005200219165999442,33.01556794353227,2.141971273209943,32.83978732676309,296,74
original_L1_L5,blur,Blur,2,blur_L2,0.0036110331860293846,0.001474937501616858,0.003463351749815047,24.8282538631119,1.9876762582429959,24.605035119862706,296,74
original_L1_L5,blur,Blur,3,blur_L3,0.006402647577389772,0.0023870735421386885,0.00628751190379262,22.284125598219212,1.8528291504257526,22.015211815177572,296,74
original_L1_L5,blur,Blur,4,blur_L4,0.008988847424326514,0.0031683309885377022,0.008674617391079664,20.77671860014864,1.76150832709803,20.61749780267099,296,74
original_L1_L5,blur,Blur,5,blur_L5,0.011339506857660348,0.003869401510657352,0.011083104647696018,19.746701025196682,1.69751399213873,19.55338595258332,296,74
original_L1_L5,ghosting,Ghosting,1,ghosting_L1,0.001373006321267206,0.0004994941794226458,0.0012573208659887314,28.916297312407018,1.6140391182069962,29.005541152639445,296,74
original_L1_L5,ghosting,Ghosting,2,ghosting_L2,0.003996740623512557,0.001444863379512165,0.0036774188047274947,24.272516048963837,1.6048191194497476,24.34457399182403,296,74
original_L1_L5,ghosting,Ghosting,3,ghosting_L3,0.007947595274025525,0.00287188424505929,0.007306751096621156,21.286958272391377,1.6040571907407273,21.362756927609574,296,74
original_L1_L5,ghosting,Ghosting,4,ghosting_L4,0.013323455492059726,0.004817640375975185,0.012271970976144075,19.04351880289593,1.6050266470814023,19.11085815985585,296,74
original_L1_L5,ghosting,Ghosting,5,ghosting_L5,0.020196861714892392,0.007326146932539854,0.018575483933091164,17.238633125254196,1.609822138468313,17.310604949690898,296,74
original_L1_L5,noise,Noise,1,noise_L1,0.00039423556970448134,1.0906934520212673e-06,0.0003943784686271101,34.04245855069853,0.012038777260827232,34.04086803706626,296,74
original_L1_L5,noise,Noise,2,noise_L2,0.0015666266357387743,1.1404262431711671e-05,0.0015687876148149371,28.050460905145183,0.03188070395631512,28.04435848039433,296,74
original_L1_L5,noise,Noise,3,noise_L3,0.003492787779258514,5.1240472140842885e-05,0.0035078752553090453,24.568754793436405,0.06484409908126239,24.549558591794746,296,74
original_L1_L5,noise,Noise,4,noise_L4,0.0061354919988032735,0.00014280767079762703,0.006175508489832282,22.122716216758295,0.1035275818390808,22.093272768986573,296,74
original_L1_L5,noise,Noise,5,noise_L5,0.009449322273753382,0.00030636081219000133,0.009536374360322952,20.248356810781928,0.14492299604329506,20.20616709001962,296,74
extended_L6_L10,noise,Noise,6,noise_L6,0.020291025102188862,0.001072543428901273,0.02054382860660553,16.93327131341893,0.23712627725376076,16.873186204754,296,74
extended_L6_L10,noise,Noise,7,noise_L7,0.033926601288840175,0.00218639354473189,0.034291429445147514,14.703936039771007,0.2881565003513487,14.64814411122908,296,74
extended_L6_L10,noise,Noise,8,noise_L8,0.06519756006781717,0.003909855389575911,0.06574784591794014,11.865676734028774,0.2656966612123186,11.821184713024046,296,74
extended_L6_L10,noise,Noise,9,noise_L9,0.09599414495499553,0.003733479440792537,0.09650363400578499,10.180874819013138,0.1708074564011882,10.15456333109079,296,74
extended_L6_L10,noise,Noise,10,noise_L10,0.12284137698746211,0.002253106856111448,0.12313925102353096,9.107285164815385,0.07997614761083842,9.096034926910086,296,74
original_L1_L5,contrast,Contrast,1,contrast_L1,0.000566122040303575,0.00022779314727555005,0.0005275547446217388,32.816209611913315,1.747349274611283,32.777327114013445,296,74
original_L1_L5,contrast,Contrast,2,contrast_L2,0.003538196682269257,0.0014236405583542791,0.0032972163753584027,24.857468484030832,1.7472922189573026,24.81852799326184,296,74
original_L1_L5,contrast,Contrast,3,contrast_L3,0.009057754183477545,0.0036444830628018735,0.008440903853625059,20.775077460918634,1.7472779697435457,20.73611292026487,296,74
original_L1_L5,contrast,Contrast,4,contrast_L4,0.017124788410886115,0.006890318356165007,0.01595856063067913,18.009028807335017,1.7472741442473476,17.97006527561559,296,74
original_L1_L5,contrast,Contrast,5,contrast_L5,0.02773930368366072,0.011161146601139395,0.02585028950124979,15.914324040444995,1.7472707784252401,15.875348343801999,296,74
extended_L6_L10,contrast,Contrast,6,contrast_L6,0.023158254177385085,0.0068029933867879136,0.022330009378492832,16.542186536699425,1.2969410692824834,16.51111108412195,296,74
