========================================================================================
Script 30A: Full-cohort nnU-Net degradation MSE/PSNR summary
========================================================================================

Patients: 74
Modalities per patient: 4
Conditions: 40
Detailed measurements: 11840

Interpretation:
Higher MSE indicates greater image-level change.
Lower PSNR indicates greater image-level change.
Metrics were calculated inside the clean brain mask.

Intensity-handling note:
Original L1-L5 degraded images were normalized using their corresponding clean MRI ranges.
Extended L6-L10 degraded images were already stored in [0,1] and were not normalized a second time.

Terminology note:
The stored artifact name 'ringing' refers to frequency-domain truncation and should not be described as pure classic Gibbs ringing.

blur_L1: MSE mean=0.000557, MSE SD=0.000250, PSNR mean=33.02 dB, PSNR SD=2.14, patients=74, measurements=296
blur_L2: MSE mean=0.003611, MSE SD=0.001475, PSNR mean=24.83 dB, PSNR SD=1.99, patients=74, measurements=296
blur_L3: MSE mean=0.006403, MSE SD=0.002387, PSNR mean=22.28 dB, PSNR SD=1.85, patients=74, measurements=296
blur_L4: MSE mean=0.008989, MSE SD=0.003168, PSNR mean=20.78 dB, PSNR SD=1.76, patients=74, measurements=296
blur_L5: MSE mean=0.011340, MSE SD=0.003869, PSNR mean=19.75 dB, PSNR SD=1.70, patients=74, measurements=296
ghosting_L1: MSE mean=0.001373, MSE SD=0.000499, PSNR mean=28.92 dB, PSNR SD=1.61, patients=74, measurements=296
ghosting_L2: MSE mean=0.003997, MSE SD=0.001445, PSNR mean=24.27 dB, PSNR SD=1.60, patients=74, measurements=296
ghosting_L3: MSE mean=0.007948, MSE SD=0.002872, PSNR mean=21.29 dB, PSNR SD=1.60, patients=74, measurements=296
ghosting_L4: MSE mean=0.013323, MSE SD=0.004818, PSNR mean=19.04 dB, PSNR SD=1.61, patients=74, measurements=296
ghosting_L5: MSE mean=0.020197, MSE SD=0.007326, PSNR mean=17.24 dB, PSNR SD=1.61, patients=74, measurements=296
noise_L1: MSE mean=0.000394, MSE SD=0.000001, PSNR mean=34.04 dB, PSNR SD=0.01, patients=74, measurements=296
noise_L2: MSE mean=0.001567, MSE SD=0.000011, PSNR mean=28.05 dB, PSNR SD=0.03, patients=74, measurements=296
noise_L3: MSE mean=0.003493, MSE SD=0.000051, PSNR mean=24.57 dB, PSNR SD=0.06, patients=74, measurements=296
noise_L4: MSE mean=0.006135, MSE SD=0.000143, PSNR mean=22.12 dB, PSNR SD=0.10, patients=74, measurements=296
noise_L5: MSE mean=0.009449, MSE SD=0.000306, PSNR mean=20.25 dB, PSNR SD=0.14, patients=74, measurements=296
noise_L6: MSE mean=0.020291, MSE SD=0.001073, PSNR mean=16.93 dB, PSNR SD=0.24, patients=74, measurements=296
noise_L7: MSE mean=0.033927, MSE SD=0.002186, PSNR mean=14.70 dB, PSNR SD=0.29, patients=74, measurements=296
