experiment_quality,condition,artifact,artifact_display,level,n_patients,n_measurements,mse_mean,mse_std,psnr_mean,psnr_std,n_cases,dice_WT_mean,iou_WT_mean,dice_WT_drop,iou_WT_drop
original_L1_L5,blur_L1,blur,Blur,1,74,296,0.0005571241416062,0.0002501564599926,33.01556794353227,2.141971273209943,74,0.9172153549411838,0.8531121982624077,-0.0047551547803537,-0.0069193588017164
original_L1_L5,blur_L2,blur,Blur,2,74,296,0.0036110331860293,0.0014749375016168,24.8282538631119,1.987676258242996,74,0.9162473719241698,0.8509056828697562,-0.0037871717633397,-0.0047128434090649
original_L1_L5,blur_L3,blur,Blur,3,74,296,0.0064026475773897,0.0023870735421386,22.28412559821921,1.8528291504257528,74,0.9096603900335348,0.8394530968909282,0.0027998101272952,0.006739742569763
original_L1_L5,blur_L4,blur,Blur,4,74,296,0.0089888474243265,0.0031683309885377,20.77671860014864,1.76150832709803,74,0.895324971808355,0.8162203756856939,0.017135228352475,0.0299724637749972
original_L1_L5,blur_L5,blur,Blur,5,74,296,0.0113395068576603,0.0038694015106573,19.74670102519668,1.69751399213873,74,0.8770443171235708,0.7880501256707958,0.0354158830372592,0.0581427137898954
original_L1_L5,ghosting_L1,ghosting,Ghosting,1,74,296,0.0013730063212672,0.0004994941794226,28.916297312407018,1.6140391182069962,74,0.9175459716167929,0.8535315691976573,-0.0050857714559626,-0.007338729736966
original_L1_L5,ghosting_L2,ghosting,Ghosting,2,74,296,0.0039967406235125,0.0014448633795121,24.27251604896384,1.6048191194497476,74,0.9157522721906028,0.8500015558125051,-0.0032920720297726,-0.0038087163518139
original_L1_L5,ghosting_L3,ghosting,Ghosting,3,74,296,0.0079475952740255,0.0028718842450592,21.286958272391377,1.6040571907407273,74,0.9087184602659087,0.8375886551651033,0.0037417398949213,0.0086041842955879
original_L1_L5,ghosting_L4,ghosting,Ghosting,4,74,296,0.0133234554920597,0.0048176403759751,19.04351880289593,1.6050266470814023,74,0.8919904407547026,0.8103178444314919,0.0204697594061274,0.0358749950291993
original_L1_L5,ghosting_L5,ghosting,Ghosting,5,74,296,0.0201968617148923,0.0073261469325398,17.238633125254196,1.609822138468313,74,0.8603073097673931,0.7619667409342026,0.0521528903934369,0.0842260985264886
