condition,artifact,level,num_pilot_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_dice_class_1,degraded_dice_class_1,drop_dice_class_1,clean_iou_class_1,degraded_iou_class_1,drop_iou_class_1,clean_dice_class_2,degraded_dice_class_2,drop_dice_class_2,clean_iou_class_2,degraded_iou_class_2,drop_iou_class_2,clean_dice_class_3,degraded_dice_class_3,drop_dice_class_3,clean_iou_class_3,degraded_iou_class_3,drop_iou_class_3,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels
blur_L6,blur,6,5,0.8868832379580462,0.8530971741785629,0.033786063779483344,0.8078335193631068,0.7493861388400189,0.058447380523087844,0.9034989574971007,0.817764458194841,0.08573449930225974,0.8270230410399254,0.6986042742708027,0.12841876676912267,0.8278372632154747,0.673977095251235,0.15386016796423974,0.7173881193281191,0.518567181736944,0.19882093759117503,0.607569013174923,0.2698696465767537,0.33769936659816924,0.48082177022866485,0.17710623946410933,0.3037155307645555,0.8469178957908339,0.7746172105495789,0.07230068524125499,0.7494504943027266,0.6377634416124884,0.11168705269023815,0.8278372632154747,0.673977095251235,0.15386016796423974,0.7173881193281191,0.518567181736944,0.19882093759117503,113763.4,139299.4,125295.2,125295.2
blur_L7,blur,7,5,0.8868832379580462,0.8350001192564273,0.05188311870161899,0.8078335193631068,0.723463284090756,0.08437023527235077,0.9034989574971007,0.7809032923127829,0.12259566518431786,0.8270230410399254,0.651888839445822,0.17513420159410342,0.8278372632154747,0.6554036737760589,0.17243358943941578,0.7173881193281191,0.49676645177993184,0.22062166754818724,0.607569013174923,0.22029252537491284,0.3872764878000101,0.48082177022866485,0.1376488550518489,0.3431729151768159,0.8469178957908339,0.734332523022444,0.11258537276838987,0.7494504943027266,0.5882214185745527,0.1612290757281739,0.8278372632154747,0.6554036737760589,0.17243358943941578,0.7173881193281191,0.49676645177993184,0.22062166754818724,113763.4,143632.2,125295.2,125295.2
blur_L8,blur,8,5,0.8868832379580462,0.8185509397452645,0.06833229821278175,0.8078335193631068,0.7003514880806857,0.10748203128242106,0.9034989574971007,0.7513494427481934,0.15214951474890737,0.8270230410399254,0.6151067932344565,0.21191624780546892,0.8278372632154747,0.6387551335478083,0.18908212966766635,0.7173881193281191,0.4776912437748133,0.23969687555330577,0.607569013174923,0.18349288844879422,0.42407612472612877,0.48082177022866485,0.1098164022275244,0.3710053680011405,0.8469178957908339,0.6997104199596494,0.14720747583118443,0.7494504943027266,0.5478968775332865,0.20155361676944006,0.8278372632154747,0.6387551335478083,0.18908212966766635,0.7173881193281191,0.4776912437748133,0.23969687555330577,113763.4,147447.6,125295.2,125295.2
blur_L9,blur,9,5,0.8868832379580462,0.8038411957967588,0.08304204216128741,0.8078335193631068,0.6798878046166271,0.12794571474647964,0.9034989574971007,0.7225948151683177,0.18090414232878305,0.8270230410399254,0.5803318786715795,0.24669116236834587,0.8278372632154747,0.6216151206951736,0.20622214252030113,0.7173881193281191,0.45840360155107884,0.25898451777704024,0.607569013174923,0.14855805463711147,0.4590109585378115,0.48082177022866485,0.08548200429633404,0.3953397659323308,0.8469178957908339,0.6673546047673482,0.17956329102348567,0.7494504943027266,0.5113021278572268,0.23814836644549975,0.8278372632154747,0.6216151206951736,0.20622214252030113,0.7173881193281191,0.45840360155107884,0.25898451777704024,113763.4,150946.2,125295.2,125295.2
blur_L10,blur,10,5,0.8868832379580462,0.788483024038759,0.09840021391928722,0.8078335193631068,0.6591782997599337,0.14865521960317307,0.9034989574971007,0.6924903482528436,0.21100860924425713,0.8270230410399254,0.5457813587828562,0.28124168225706925,0.8278372632154747,0.6054179086544474,0.22241935456102724,0.7173881193281191,0.4407156961415553,0.27667242318656377,0.607569013174923,0.12079860149996693,0.48677041167495605,0.48082177022866485,0.0675450446294593,0.41327672559920553,0.8469178957908339,0.637506421855559,0.20941147393527493,0.7494504943027266,0.4780497489370862,0.2714007453656404,0.8278372632154747,0.6054179086544474,0.22241935456102724,0.7173881193281191,0.4407156961415553,0.27667242318656377,113763.4,154622.2,125295.2,125295.2
ghosting_L6,ghosting,6,5,0.8868832379580462,0.8337087677945576,0.05317447016348864,0.8078335193631068,0.720067492577039,0.08776602678606782,0.9034989574971007,0.9035964189288542,-9.74614317534872e-05,0.8270230410399254,0.8257813655881219,0.0012416754518035367,0.8278372632154747,0.8118814430199116,0.015955820195563075,0.7173881193281191,0.6989998313944323,0.018388287933686742,0.607569013174923,0.5589683015995547,0.04860071157536827,0.48082177022866485,0.4373149127338304,0.04350685749483446,0.8469178957908339,0.7779704865548297,0.06894740923600418,0.7494504943027266,0.6431032324461112,0.10634726185661536,0.8278372632154747,0.8118814430199116,0.015955820195563075,0.7173881193281191,0.6989998313944323,0.018388287933686742,113763.4,138793.2,125295.2,125295.2
ghosting_L7,ghosting,7,5,0.8868832379580462,0.7573564859696361,0.12952675198841013,0.8078335193631068,0.6154958074199978,0.192337711943109,0.9034989574971007,0.8736267325658383,0.029872224931262403,0.8270230410399254,0.7764679076271797,0.050555133412745756,0.8278372632154747,0.7818874725979128,0.04594979061756188,0.7173881193281191,0.653466614613753,0.06392150471436608,0.607569013174923,0.5275951065263925,0.07997390664853044,0.48082177022866485,0.40125410359014985,0.079567666638515,0.8469178957908339,0.683110510221995,0.1638073855688389,0.7494504943027266,0.5254352289452904,0.2240152653574362,0.8278372632154747,0.7818874725979128,0.04594979061756188,0.7173881193281191,0.653466614613753,0.06392150471436608,113763.4,157403.8,125295.2,125295.2
ghosting_L8,ghosting,8,5,0.8868832379580462,0.6529118152576926,0.23397142270035365,0.8078335193631068,0.4898229898857407,0.3180105294773661,0.9034989574971007,0.716086563069552,0.18741239442754876,0.8270230410399254,0.5682337104930125,0.2587893305469129,0.8278372632154747,0.6425093004968241,0.1853279627186506,0.7173881193281191,0.4806289632450039,0.23675915608311515,0.607569013174923,0.33624368575204844,0.2713253274228745,0.48082177022866485,0.2154998591456613,0.2653219110830035,0.8469178957908339,0.5391986489443885,0.30771924684644536,0.7494504943027266,0.3736701183374217,0.3757803759653049,0.8278372632154747,0.6425093004968241,0.1853279627186506,0.7173881193281191,0.4806289632450039,0.23675915608311515,113763.4,188209.4,125295.2,125295.2
ghosting_L9,ghosting,9,5,0.8868832379580462,0.606323760968458,0.2805594769895883,0.8078335193631068,0.43986572928176326,0.3679677900813435,0.9034989574971007,0.6122886760004296,0.29121028149667116,0.8270230410399254,0.45169923851571536,0.37532380252421005,0.8278372632154747,0.4941365148125917,0.333700748402883,0.7173881193281191,0.3338283879128309,0.38355973141528815,0.607569013174923,0.2737144685131097,0.33385454466181325,0.48082177022866485,0.16524145811715624,0.3155803121115086,0.8469178957908339,0.46440739527624897,0.3825105005145849,0.7494504943027266,0.3056130665781031,0.4438374277246235,0.8278372632154747,0.4941365148125917,0.333700748402883,0.7173881193281191,0.3338283879128309,0.38355973141528815,113763.4,200573.2,125295.2,125295.2
ghosting_L10,ghosting,10,5,0.8868832379580462,0.5643626447605529,0.3225205931974934,0.8078335193631068,0.3979870870003359,0.40984643236277085,0.9034989574971007,0.40782562901069375,0.495673328486407,0.8270230410399254,0.2646813537564407,0.5623416872834848,0.8278372632154747,0.21413155406297774,0.6137057091524969,0.7173881193281191,0.12672750335714555,0.5906606159709735,0.607569013174923,0.18783125150442775,0.4197377616704952,0.48082177022866485,0.1046880745676279,0.37613369566103694,0.8469178957908339,0.3977264780071218,0.4491914177837121,0.7494504943027266,0.25089100083293686,0.4985594934697897,0.8278372632154747,0.21413155406297774,0.6137057091524969,0.7173881193281191,0.12672750335714555,0.5906606159709735,113763.4,207632.2,125295.2,125295.2
