condition,artifact,artifact_display,level,num_test_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels,break_threshold_crossed
blur_L1,blur,Blur,1,74,0.91246020016083,0.9172153549411838,-0.0047551547803537,0.8461928394606912,0.8531121982624077,-0.0069193588017164,0.8844378949401662,0.8865009372364733,-0.002063042296307,0.8086667324639445,0.8113688785449166,-0.002702146080972,0.8185845341459236,0.8170689073826946,0.001515626763229,0.7283002312497782,0.7269405772804733,0.0013596539693048,93225.24324324324,94653.83783783784,99706.22972972972,99706.22972972972,False
blur_L2,blur,Blur,2,74,0.91246020016083,0.9162473719241698,-0.0037871717633397,0.8461928394606912,0.8509056828697562,-0.0047128434090649,0.8844378949401662,0.8839730189419139,0.0004648759982522,0.8086667324639445,0.8066881758528038,0.0019785566111406,0.8185845341459236,0.8025664784308587,0.0160180557150648,0.7283002312497782,0.7062184996941063,0.0220817315556718,93225.24324324324,95462.58108108108,99706.22972972972,99706.22972972972,False
blur_L3,blur,Blur,3,74,0.91246020016083,0.9096603900335348,0.0027998101272952,0.8461928394606912,0.8394530968909282,0.006739742569763,0.8844378949401662,0.8687409271561098,0.0156969677840563,0.8086667324639445,0.782617583304761,0.0260491491591834,0.8185845341459236,0.7953020430208235,0.0232824911251,0.7283002312497782,0.6862359918283168,0.0420642394214613,93225.24324324324,97969.7972972973,99706.22972972972,99706.22972972972,False
blur_L4,blur,Blur,4,74,0.91246020016083,0.895324971808355,0.017135228352475,0.8461928394606912,0.8162203756856939,0.0299724637749972,0.8844378949401662,0.8426619288625179,0.0417759660776483,0.8086667324639445,0.7449087490051908,0.0637579834587537,0.8185845341459236,0.7545580193139932,0.0640265148319303,0.7283002312497782,0.6329774908906666,0.0953227403591115,93225.24324324324,101579.25675675676,99706.22972972972,99706.22972972972,False
blur_L5,blur,Blur,5,74,0.91246020016083,0.8770443171235708,0.0354158830372592,0.8461928394606912,0.7880501256707958,0.0581427137898954,0.8844378949401662,0.8183672875681707,0.0660706073719955,0.8086667324639445,0.709679161384239,0.0989875710797054,0.8185845341459236,0.7180374318998632,0.1005471022460603,0.7283002312497782,0.587592924553998,0.1407073066957801,93225.24324324324,105323.25675675676,99706.22972972972,99706.22972972972,False
blur_L6,blur,Blur,6,74,0.91246020016083,0.8527691149049861,0.0596910852558439,0.8461928394606912,0.754397867824099,0.0917949716365922,0.8844378949401662,0.7878684642076594,0.0965694307325067,0.8086667324639445,0.6703217969429478,0.1383449355209967,0.8185845341459236,0.6828540402473646,0.1357304938985589,0.7283002312497782,0.5472910633640753,0.1810091678857028,93225.24324324324,109242.85135135136,99706.22972972972,99706.22972972972,False
blur_L7,blur,Blur,7,74,0.91246020016083,0.8301412219237411,0.082318978237089,0.8461928394606912,0.72375089680908,0.1224419426516112,0.8844378949401662,0.7599386794086518,0.1244992155315144,0.8086667324639445,0.6345987303920382,0.1740680020719063,0.8185845341459236,0.6418389528715708,0.1767455812743528,0.7283002312497782,0.5054507545506481,0.22284947669913,93225.24324324324,112959.22972972972,99706.22972972972,99706.22972972972,False
blur_L8,blur,Blur,8,74,0.91246020016083,0.8086202653460071,0.103839934814823,0.8461928394606912,0.6961225714167573,0.1500702680439339,0.8844378949401662,0.7286422657414584,0.1557956291987078,0.8086667324639445,0.5982731239169777,0.2103936085469667,0.8185845341459236,0.6040310195993547,0.2145535145465689,0.7283002312497782,0.4688766878893514,0.2594235433604268,93225.24324324324,116803.64864864864,99706.22972972972,99706.22972972972,True
blur_L9,blur,Blur,9,74,0.91246020016083,0.788737483347234,0.123722716813596,0.8461928394606912,0.670694612671819,0.1754982267888722,0.8844378949401662,0.6994522857181537,0.1849856092220125,0.8086667324639445,0.5668176467834617,0.2418490856804828,0.8185845341459236,0.5713327098139259,0.2472518243319976,0.7283002312497782,0.4388672424252078,0.2894329888245703,93225.24324324324,121649.8108108108,99706.22972972972,99706.22972972972,True
blur_L10,blur,Blur,10,74,0.91246020016083,0.7682253434912977,0.1442348566695324,0.8461928394606912,0.6453815365203905,0.2008113029403007,0.8844378949401662,0.6747261183254317,0.2097117766147345,0.8086667324639445,0.5411419102940612,0.2675248221698832,0.8185845341459236,0.5465031453097307,0.2720813888361929,0.7283002312497782,0.4157824738973986,0.3125177573523795,93225.24324324324,126754.52702702704,99706.22972972972,99706.22972972972,True
