epoch,completed_train_batches,train_loss,train_minutes,peak_gpu_memory_gb,tumor_centered_patches,mixed_random_patches,tumor_free_patches,mixed_random_fallback_patches,tumor_free_search_attempts_mean,validation_performed,val_dice_WT,val_iou_WT,val_dice_TC,val_iou_TC,val_dice_ET,val_iou_ET,val_macro_dice,val_pred_WT_voxels_mean,val_true_WT_voxels_mean,validation_minutes,validation_metrics_path,best_epoch_so_far,best_val_macro_dice_so_far,learning_rate
1,235,1.8422278267271974,2.125318784856548,3.338818073272705,128,53,52,2,25.557692307692307,True,0.4788779272747158,0.34083059951484523,0.4590071413949607,0.32722698040835485,0.5014783306931636,0.373480045231079,0.4797877997876134,255311.7627118644,99129.2372881356,3.4187094850155213,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_001_metrics.csv,1,0.4797877997876134,0.0001
2,235,1.4753689897821305,2.1567172300691406,3.4102134704589844,115,58,59,3,35.644067796610166,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
3,235,1.2818813793202664,2.1471788423446316,3.412181854248047,100,64,66,5,37.81818181818182,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
4,235,1.1312865815264113,2.096642345065872,3.410067081451416,99,70,64,2,38.21875,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
5,235,0.9799203040752005,2.0526950595589977,3.408473014831543,123,58,52,2,26.26923076923077,True,0.6924998478100118,0.5472814573336179,0.7000917613773596,0.5806950237751567,0.6966064112368813,0.5792890956394389,0.6963993401414177,129214.67796610169,99129.2372881356,3.164761517972996,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_005_metrics.csv,5,0.6963993401414177,0.0001
6,235,0.905266066561354,2.07143823740383,3.4125547409057617,121,50,62,2,25.193548387096776,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
7,235,0.8318490180563419,2.0676887100252013,3.409170627593994,129,52,51,3,32.21568627450981,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
8,235,0.8017980562879684,2.048112431168556,3.4052062034606934,124,57,53,1,31.9811320754717,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
9,235,0.7724311553417368,2.071158799622208,3.4090800285339355,116,59,58,2,25.17241379310345,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
10,235,0.7555460362992388,2.0838233422487975,3.408083915710449,105,68,58,4,22.844827586206897,True,0.8036791925760467,0.694160773800577,0.745219974223369,0.630867555608799,0.7290954587765373,0.6168536956779681,0.7593315418586509,113892.25423728813,99129.2372881356,3.1609637484885753,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_010_metrics.csv,10,0.7593315418586509,0.0001
11,235,0.6928010841633411,2.0805223745293917,3.4094343185424805,126,57,50,2,28.06,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,10,0.7593315418586509,0.0001
