level,num_patients,dice_WT,dice_TC,dice_ET,model,artifact,drop_dice_WT,drop_dice_TC,drop_dice_ET
1,74,0.7551526282250917,0.6543030729333813,0.589326496768195,Custom 3D U-Net,blur,0.007652371774908295,-0.0012400729333813532,0.00011050323180494814
2,74,0.7263254713205718,0.6358013072686175,0.5712947032243062,Custom 3D U-Net,blur,0.036479528679428164,0.01726169273138245,0.01814229677569379
3,74,0.6922412765009645,0.6086038691209844,0.5480207250267636,Custom 3D U-Net,blur,0.0705637234990355,0.04445913087901554,0.04141627497323641
4,74,0.6560800290872025,0.5748545314145181,0.5213248368715806,Custom 3D U-Net,blur,0.10672497091279742,0.0782084685854818,0.06811216312841939
5,74,0.6233778535843288,0.5422852779850593,0.49588433506935425,Custom 3D U-Net,blur,0.1394271464156711,0.11077772201494063,0.09355266493064573
6,74,0.594273268875537,0.5112968267774628,0.4727539775217515,Custom 3D U-Net,blur,0.16853173112446296,0.14176617322253715,0.11668302247824847
7,74,0.5690826712879359,0.4839785226781696,0.4504077208010789,Custom 3D U-Net,blur,0.19372232871206407,0.16908447732183035,0.1390292791989211
8,74,0.5474053127073506,0.46104038006133186,0.42852967923598356,Custom 3D U-Net,blur,0.21539968729264936,0.1920226199386681,0.16090732076401643
9,74,0.5281357334387964,0.44106244104123843,0.40822598223175427,Custom 3D U-Net,blur,0.23466926656120357,0.21200055895876152,0.18121101776824572
10,74,0.5106561814076688,0.42351715671486423,0.39014783336198516,Custom 3D U-Net,blur,0.2521488185923312,0.22954584328513572,0.19928916663801483
1,74,0.7660792333492609,0.6631992873407964,0.5996018084980336,Custom 3D U-Net,ghosting,-0.0032742333492609133,-0.010136287340796413,-0.010164808498033584
2,74,0.7631345312397565,0.6690113477035085,0.6050720937290731,Custom 3D U-Net,ghosting,-0.00032953123975654197,-0.015948347703508503,-0.015635093729073124
3,74,0.7491933595628124,0.6685896946254297,0.6033316262043084,Custom 3D U-Net,ghosting,0.013611640437187544,-0.015526694625429771,-0.013894626204308369
4,74,0.7147837996603299,0.6525259602195584,0.5849462573508607,Custom 3D U-Net,ghosting,0.048021200339670056,0.0005370397804415061,0.00449074264913929
5,74,0.6610611613444185,0.6068057886885508,0.5322772865860909,Custom 3D U-Net,ghosting,0.10174383865558145,0.04625721131144911,0.05715971341390913
6,74,0.5941902568478151,0.5289289042945263,0.4477014834623937,Custom 3D U-Net,ghosting,0.16861474315218483,0.12413409570547362,0.1417355165376063
7,74,0.5242386771100238,0.4346388606550262,0.3483972704528322,Custom 3D U-Net,ghosting,0.23856632288997615,0.21842413934497373,0.2410397295471678
8,74,0.45769466178309043,0.34507482144392887,0.2556454704014343,Custom 3D U-Net,ghosting,0.3051103382169095,0.3079881785560711,0.3337915295985657
9,74,0.42778736929902866,0.3078573522020671,0.21251514975197275,Custom 3D U-Net,ghosting,0.3350176307009713,0.34520564779793284,0.37692185024802727
10,74,0.4050602247851328,0.2776559162455514,0.17368564122240865,Custom 3D U-Net,ghosting,0.35774477521486714,0.37540708375444853,0.41575135877759134
1,74,0.7644861241432233,0.6560652238027921,0.5944135407526016,Custom 3D U-Net,noise,-0.0016811241432233004,-0.0030022238027921366,-0.004976540752601566
2,74,0.7670587439111319,0.6540721139643505,0.5938936677537496,Custom 3D U-Net,noise,-0.00425374391113198,-0.0010091139643505498,-0.0044566677537496435
3,74,0.768522902683808,0.6499953190493322,0.5930291047716575,Custom 3D U-Net,noise,-0.005717902683808007,0.003067680950667784,-0.0035921047716575005
4,74,0.7681997920905835,0.6444703684243285,0.5915055364235622,Custom 3D U-Net,noise,-0.005394792090583578,0.008592631575671472,-0.002068536423562195
5,74,0.7662497850629735,0.6374355844099204,0.5901233328727739,Custom 3D U-Net,noise,-0.003444785062973521,0.01562741559007952,-0.0006863328727738649
