condition,mean_wt_dice,std_wt_dice,n,artifact,level,clean_wt_dice,wt_dice_drop,relative_drop_percent
blur_L1,0.7551526282250917,0.1614627036706656,74,blur,1,0.762805,0.007652371774908295,1.0031884655853456
blur_L2,0.7263254713205718,0.17626259072907005,74,blur,2,0.762805,0.036479528679428164,4.782287567520948
blur_L3,0.6922412765009645,0.18821456667990996,74,blur,3,0.762805,0.0705637234990355,9.250558596107197
blur_L4,0.6560800290872025,0.1976024249812993,74,blur,4,0.762805,0.10672497091279742,13.991121048340982
blur_L5,0.6233778535843288,0.2031909706860559,74,blur,5,0.762805,0.1394271464156711,18.27821611233161
blur_L6,0.594273268875537,0.20705491110552157,74,blur,6,0.762805,0.16853173112446296,22.093684640827338
blur_L7,0.5690826712879359,0.21045443349188617,74,blur,7,0.762805,0.19372232871206407,25.396048624755224
blur_L8,0.5474053127073506,0.21287115878727395,74,blur,8,0.762805,0.21539968729264936,28.23784417939701
blur_L9,0.5281357334387964,0.21417295810421833,74,blur,9,0.762805,0.23466926656120357,30.763991657265432
blur_L10,0.5106561814076688,0.2148300999685977,74,blur,10,0.762805,0.2521488185923312,33.055475330173664
contrast_L1,0.7631208789505455,0.15505914217111333,74,contrast,1,0.762805,-0.00031587895054552284,-0.041410183539111946
contrast_L2,0.7631171226975751,0.15506084713090532,74,contrast,2,0.762805,-0.00031212269757519007,-0.04091775716928836
contrast_L3,0.7631190973404437,0.1550606336841483,74,contrast,3,0.762805,-0.00031409734044374193,-0.04117662317941571
contrast_L4,0.7631197239538674,0.15505944802613741,74,contrast,4,0.762805,-0.0003147239538674462,-0.041258769130701325
contrast_L5,0.7631186451072256,0.15505983115240457,74,contrast,5,0.762805,-0.0003136451072256463,-0.041117337619135476
contrast_L6,0.7631213828255377,0.1550567675079626,74,contrast,6,0.762805,-0.0003163828255376977,-0.04147623908308122
contrast_L7,0.76311988325895,0.15505929664648266,74,contrast,7,0.762805,-0.0003148832589500161,-0.04127965324690008
contrast_L8,0.7631180751244758,0.15506007761607685,74,contrast,8,0.762805,-0.00031307512447587005,-0.04104261567187814
contrast_L9,0.7631195517769157,0.15506304792975917,74,contrast,9,0.762805,-0.0003145517769157502,-0.04123619757549442
contrast_L10,0.7631186734370886,0.1550618221417375,74,contrast,10,0.762805,-0.00031367343708865736,-0.04112105152544325
ghosting_L1,0.7660792333492609,0.15142063867698893,74,ghosting,1,0.762805,-0.0032742333492609133,-0.42923595797889547
ghosting_L2,0.7631345312397565,0.14959450737947888,74,ghosting,2,0.762805,-0.00032953123975654197,-0.04319993179863032
ghosting_L3,0.7491933595628124,0.15123922937850395,74,ghosting,3,0.762805,0.013611640437187544,1.7844194043284385
ghosting_L4,0.7147837996603299,0.15638401478325,74,ghosting,4,0.762805,0.048021200339670056,6.2953442019480805
ghosting_L5,0.6610611613444185,0.1626510212126064,74,ghosting,5,0.762805,0.10174383865558145,13.3381190023114
ghosting_L6,0.5941902568478151,0.16841783450292838,74,ghosting,6,0.762805,0.16861474315218483,22.104567111147
ghosting_L7,0.5242386771100238,0.17256976253741832,74,ghosting,7,0.762805,0.23856632288997615,31.274876657858318
ghosting_L8,0.45769466178309043,0.17415053380570455,74,ghosting,8,0.762805,0.3051103382169095,39.99847119734527
ghosting_L9,0.42778736929902866,0.17450959472022903,74,ghosting,9,0.762805,0.3350176307009713,43.919170784272694
ghosting_L10,0.4050602247851328,0.17345293529561545,74,ghosting,10,0.762805,0.35774477521486714,46.89858813390934
noise_L1,0.7644861241432233,0.15419879579855064,74,noise,1,0.762805,-0.0016811241432233004,-0.22038714261486234
noise_L2,0.7670587439111319,0.15123734039282427,74,noise,2,0.762805,-0.00425374391113198,-0.5576449959205799
noise_L3,0.768522902683808,0.14800179142268477,74,noise,3,0.762805,-0.005717902683808007,-0.7495890409486051
noise_L4,0.7681997920905835,0.14566408926529262,74,noise,4,0.762805,-0.005394792090583578,-0.7072308244680591
noise_L5,0.7662497850629735,0.1431897618401797,74,noise,5,0.762805,-0.003444785062973521,-0.4515944524450576
noise_L6,0.7473584842458548,0.13917996815579017,74,noise,6,0.762805,0.01544651575414513,2.024962572891516
noise_L7,0.7219646331106577,0.1416993451219575,74,noise,7,0.762805,0.04084036688934223,5.353972101564913
noise_L8,0.6461395910176252,0.17089487830886912,74,noise,8,0.762805,0.11666540898237476,15.294263800365071
noise_L9,0.5495079058151487,0.19620874672299382,74,noise,9,0.762805,0.2132970941848512,27.962204519484168
noise_L10,0.44308075103329114,0.2060344673282775,74,noise,10,0.762805,0.3197242489667088,41.91428333148168
ringing_L1,0.764650146935151,0.1543725778993933,74,ringing,1,0.762805,-0.001845146935151032,-0.24188972740753298
ringing_L2,0.7648227306983685,0.15446164723745065,74,ringing,2,0.762805,-0.002017730698368525,-0.26451461361272216
ringing_L3,0.7641560024332819,0.15528920656763892,74,ringing,3,0.762805,-0.0013510024332819004,-0.1771098030665636
ringing_L4,0.7622944347378049,0.15683558612182866,74,ringing,4,0.762805,0.0005105652621950618,0.06693260560629019
ringing_L5,0.7583422124253785,0.15982369557951864,74,ringing,5,0.762805,0.004462787574621485,0.5850495965051993
ringing_L6,0.7498009652707246,0.16502008385284594,74,ringing,6,0.762805,0.01300403472927536,1.704765271501283
ringing_L7,0.7290315007665806,0.1744635336954737,74,ringing,7,0.762805,0.033773499233419324,4.427540358731173
ringing_L8,0.6549033079021348,0.19759580327926246,74,ringing,8,0.762805,0.10790169209786515,14.145383433231974
ringing_L9,0.5704967956264614,0.2082143367347504,74,ringing,9,0.762805,0.19230820437353857,25.21066384902283
ringing_L10,0.41928887375779406,0.20380952023200236,74,ringing,10,0.762805,0.3435161262422059,45.033281932106625
