condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent
blur_L1,1,74,0.7628045228832854,0.7551526282250917,0.1614627036706656,0.007651894658193681,0.02563728024805706,blur,1.0031265453527571
blur_L2,2,74,0.7628045228832854,0.7263254713205718,0.17626259072907005,0.03647905156271355,0.05003398089087014,blur,4.782228011028076
blur_L3,3,74,0.7628045228832854,0.6922412765009645,0.18821456667990996,0.07056324638232092,0.069037610350294,blur,9.250501834415264
blur_L4,4,74,0.7628045228832854,0.6560800290872025,0.1976024249812993,0.10672449379608281,0.08393052122921313,blur,13.991067251762013
blur_L5,5,74,0.7628045228832854,0.6233778535843288,0.2031909706860559,0.13942666929895656,0.09411522782414083,blur,18.278164997232174
blur_L6,6,74,0.7628045228832854,0.594273268875537,0.20705491110552157,0.16853125400774835,0.10207120004196783,blur,22.093635912215856
blur_L7,7,74,0.7628045228832854,0.5690826712879359,0.21045443349188617,0.19372185159534946,0.10893664977543185,blur,25.39600196169659
blur_L8,8,74,0.7628045228832854,0.5474053127073506,0.21287115878727395,0.21539921017593483,0.11443143682563535,blur,28.237799293816256
blur_L9,9,74,0.7628045228832854,0.5281357334387964,0.21417295810421833,0.23466878944448896,0.1185787799176898,blur,30.763948351731912
blur_L10,10,74,0.7628045228832854,0.5106561814076688,0.2148300999685977,0.2521483414756165,0.12202511498405152,blur,33.05543345791055
contrast_L1,1,74,0.7628045228832854,0.7631208789505455,0.15505914217111333,-0.0003163560672601584,0.015359160970984777,contrast,-0.04147275714417377
contrast_L2,2,74,0.7628045228832854,0.7631171226975751,0.15506084713090532,-0.00031259981428978024,0.015358614397153457,contrast,-0.040980330466342856
contrast_L3,3,74,0.7628045228832854,0.7631190973404437,0.1550606336841483,-0.00031457445715828375,0.015358910978688366,contrast,-0.0412391966383786
contrast_L4,4,74,0.7628045228832854,0.7631197239538674,0.15505944802613741,-0.0003152010705820075,0.015362758273851671,contrast,-0.041321342641047185
contrast_L5,5,74,0.7628045228832854,0.7631186451072256,0.15505983115240457,-0.0003141222239402286,0.015363268364938985,contrast,-0.04117991104102192
contrast_L6,6,74,0.7628045228832854,0.7631213828255377,0.1550567675079626,-0.0003168599422523089,0.015360451291342843,contrast,-0.04153881272945609
contrast_L7,7,74,0.7628045228832854,0.76311988325895,0.15505929664648266,-0.00031536037566459203,0.015359734680419745,contrast,-0.04134222677031039
contrast_L8,8,74,0.7628045228832854,0.7631180751244758,0.15506007761607685,-0.00031355224119043095,0.01535751780957776,contrast,-0.041105189047024926
contrast_L9,9,74,0.7628045228832854,0.7631195517769157,0.15506304792975917,-0.00031502889363038087,0.015357511170833995,contrast,-0.04129877107173138
contrast_L10,10,74,0.7628045228832854,0.7631186734370886,0.1550618221417375,-0.00031415055380321305,0.015360650733068611,contrast,-0.041183624949649174
ghosting_L1,1,74,0.7628045228832854,0.7660792333492609,0.15142063867698893,-0.003274710465975517,0.019467714050242838,ghosting,-0.42929877416007023
ghosting_L2,2,74,0.7628045228832854,0.7631345312397565,0.14959450737947888,-0.00033000835647112314,0.029969541403191722,ghosting,-0.04326250652313146
ghosting_L3,3,74,0.7628045228832854,0.7491933595628124,0.15123922937850395,0.013611163320472958,0.04396646245431546,ghosting,1.784357972737868
ghosting_L4,4,74,0.7628045228832854,0.7147837996603299,0.15638401478325,0.04802072322295543,0.05938521714308361,ghosting,6.295285591837393
ghosting_L5,5,74,0.7628045228832854,0.6610611613444185,0.1626510212126064,0.10174336153886684,0.07019561841722918,ghosting,13.338064797294644
ghosting_L6,6,74,0.7628045228832854,0.5941902568478151,0.16841783450292838,0.16861426603547025,0.0796074582057073,ghosting,22.104518389342253
ghosting_L7,7,74,0.7628045228832854,0.5242386771100238,0.17256976253741832,0.23856584577326165,0.08856939899102481,ghosting,31.274833671871654
ghosting_L8,8,74,0.7628045228832854,0.45769466178309043,0.17415053380570455,0.30510986110019495,0.09475672660849944,ghosting,39.99843366776667
ghosting_L9,9,74,0.7628045228832854,0.42778736929902866,0.17450959472022903,0.33501715358425666,0.09902125236663098,ghosting,43.91913570700166
ghosting_L10,10,74,0.7628045228832854,0.4050602247851328,0.17345293529561545,0.3577442980981525,0.10183011801053637,ghosting,46.89855492019546
noise_L1,1,74,0.7628045228832854,0.7644861241432233,0.15419879579855064,-0.001681601259937855,0.014946703752030544,noise,-0.22044982816589198
noise_L2,2,74,0.7628045228832854,0.7670587439111319,0.15123734039282427,-0.004254221027846503,0.015851067900662028,noise,-0.5577078924186492
noise_L3,3,74,0.7628045228832854,0.768522902683808,0.14800179142268477,-0.0057183798005225805,0.021739450050503224,noise,-0.7496520575032739
noise_L4,4,74,0.7628045228832854,0.7681997920905835,0.14566408926529262,-0.0053952692072981485,0.03169385016916672,noise,-0.7072938145286357
noise_L5,5,74,0.7628045228832854,0.7662497850629735,0.1431897618401797,-0.0034452621796881053,0.04337940213410751,noise,-0.4516572826109548
noise_L6,6,74,0.7628045228832854,0.7473584842458548,0.13917996815579017,0.015446038637430467,0.07433343690692858,noise,2.0249012917551648
noise_L7,7,74,0.7628045228832854,0.7219646331106577,0.1416993451219575,0.040839889772627626,0.09959326636638109,noise,5.353912902647593
