condition,level,n,mean_clean_wt_dice,mean_wt_dice,std_wt_dice,mean_wt_dice_drop,std_wt_dice_drop,artifact,relative_drop_percent,artifact_display,mse_mean,mse_std,psnr_mean,psnr_std,n_measurements,n_patients
blur_L1,1,74,0.7628045228832854,0.7551526282250917,0.1614627036706656,0.0076518946581936,0.025637280248057,blur,1.0031265453527571,Blur,0.0005571241416062,0.0002501564599926,33.01556794353227,2.141971273209943,296,74
blur_L2,2,74,0.7628045228832854,0.7263254713205718,0.17626259072907,0.0364790515627135,0.0500339808908701,blur,4.782228011028076,Blur,0.0036110331860293,0.0014749375016168,24.8282538631119,1.987676258242996,296,74
blur_L3,3,74,0.7628045228832854,0.6922412765009645,0.1882145666799099,0.0705632463823209,0.069037610350294,blur,9.250501834415264,Blur,0.0064026475773897,0.0023870735421386,22.28412559821921,1.8528291504257528,296,74
blur_L4,4,74,0.7628045228832854,0.6560800290872025,0.1976024249812993,0.1067244937960828,0.0839305212292131,blur,13.991067251762011,Blur,0.0089888474243265,0.0031683309885377,20.77671860014864,1.76150832709803,296,74
blur_L5,5,74,0.7628045228832854,0.6233778535843288,0.2031909706860559,0.1394266692989565,0.0941152278241408,blur,18.27816499723217,Blur,0.0113395068576603,0.0038694015106573,19.74670102519668,1.69751399213873,296,74
blur_L6,6,74,0.7628045228832854,0.594273268875537,0.2070549111055215,0.1685312540077483,0.1020712000419678,blur,22.093635912215856,Blur,0.0134633278334198,0.0044980251885273,18.986159809328967,1.6480403573444524,296,74
blur_L7,7,74,0.7628045228832854,0.5690826712879359,0.2104544334918861,0.1937218515953494,0.1089366497754318,blur,25.39600196169659,Blur,0.0153917261372584,0.0050591327616671,18.39305563430209,1.6071493148449547,296,74
blur_L8,8,74,0.7628045228832854,0.5474053127073506,0.2128711587872739,0.2153992101759348,0.1144314368256353,blur,28.237799293816256,Blur,0.0171622763493261,0.0055630109236441,17.91048016038472,1.572463442487853,296,74
blur_L9,9,74,0.7628045228832854,0.5281357334387964,0.2141729581042183,0.2346687894444889,0.1185787799176898,blur,30.763948351731912,Blur,0.0188091054985085,0.006022006622245,17.50443035696539,1.542930113325061,296,74
blur_L10,10,74,0.7628045228832854,0.5106561814076688,0.2148300999685977,0.2521483414756165,0.1220251149840515,blur,33.05543345791055,Blur,0.0203598378150648,0.0064475322287553,17.153582763000916,1.5179022236227384,296,74
contrast_L1,1,74,0.7628045228832854,0.7631208789505455,0.1550591421711133,-0.0003163560672601,0.0153591609709847,contrast,-0.0414727571441737,Contrast reduction,0.0005661220403035,0.0002277931472755,32.816209611913315,1.747349274611283,296,74
contrast_L2,2,74,0.7628045228832854,0.7631171226975751,0.1550608471309053,-0.0003125998142897,0.0153586143971534,contrast,-0.0409803304663428,Contrast reduction,0.0035381966822692,0.0014236405583542,24.857468484030832,1.7472922189573026,296,74
contrast_L3,3,74,0.7628045228832854,0.7631190973404437,0.1550606336841483,-0.0003145744571582,0.0153589109786883,contrast,-0.0412391966383786,Contrast reduction,0.0090577541834775,0.0036444830628018,20.775077460918634,1.7472779697435457,296,74
